text,label
A porta 22/TCP no firewall está liberada?,check_firewall_rule
"Verifique se a porta 443 que utiliza o protocolo TCP está bloqueada, por favor.",check_firewall_rule
"Verifique se a porta 80 que utiliza o protocolo TCP está bloqueada, por favor.",check_firewall_rule
Confirme se o serviço personalizado na porta 389/TCP pode receber conexões.,check_firewall_rule
A origem 198.51.100.27 consegue acessar a porta 80/TCP através do firewall?,check_firewall_rule
Consulte se o tráfego para 172.18.10.0/24 na porta 995/UDP está permitido.,check_firewall_rule
Quero saber se existe alguma regra liberando o serviço personalizado em 1883/TCP.,check_firewall_rule
Cheque o estado da porta 443/TCP na interface eth1.,check_firewall_rule
O firewall deixa passar conexões destinadas à porta 5900/TCP?,check_firewall_rule
Valide se o serviço personalizado está acessível pela origem 10.10.0.0/16 usando 8883/UDP.,check_firewall_rule
Pode verificar se a porta 53/UDP no destino 10.40.5.25 está fechada?,check_firewall_rule
Há alguma política bloqueando o acesso à porta 68/TCP?,check_firewall_rule
"Informe o status de acesso do serviço personalizado, porta 161/TCP.",check_firewall_rule
A porta 25/TCP no firewall está liberada?,check_firewall_rule
"Verifique se a porta 993 que utiliza o protocolo TCP está bloqueada, por favor.",check_firewall_rule
Confirme se o serviço personalizado na porta 1812/TCP pode receber conexões.,check_firewall_rule
A origem 8.8.8.8 consegue acessar a porta 587/TCP através do firewall?,check_firewall_rule
Consulte se o tráfego para 172.18.10.0/24 na porta 5672/UDP está permitido.,check_firewall_rule
Quero saber se existe alguma regra liberando o serviço personalizado em 8443/TCP.,check_firewall_rule
Cheque o estado da porta 993/TCP na interface bond0.,check_firewall_rule
O firewall deixa passar conexões destinadas à porta 67/TCP?,check_firewall_rule
Valide se o serviço personalizado está acessível pela origem 203.0.113.18 usando 143/UDP.,check_firewall_rule
Pode verificar se a porta 995/TCP no destino 10.40.5.25 está fechada?,check_firewall_rule
Há alguma política bloqueando o acesso à porta 853/TCP?,check_firewall_rule
"Informe o status de acesso do serviço personalizado, porta 1521/TCP.",check_firewall_rule
A porta 3389/TCP no firewall está liberada?,check_firewall_rule
"Verifique se a porta 5432 que utiliza o protocolo TCP está bloqueada, por favor.",check_firewall_rule
Confirme se o serviço personalizado na porta 8080/TCP pode receber conexões.,check_firewall_rule
A origem 10.0.8.15 consegue acessar a porta 3306/TCP através do firewall?,check_firewall_rule
Consulte se o tráfego para 172.18.10.0/24 na porta 53/UDP está permitido.,check_firewall_rule
Quero saber se existe alguma regra liberando o serviço personalizado em 123/TCP.,check_firewall_rule
Cheque o estado da porta 5432/TCP na interface vlan20.,check_firewall_rule
O firewall deixa passar conexões destinadas à porta 636/TCP?,check_firewall_rule
Valide se o serviço personalizado está acessível pela origem 198.51.100.64/27 usando 1433/UDP.,check_firewall_rule
Pode verificar se a porta 6379/TCP no destino 10.40.5.25 está fechada?,check_firewall_rule
Há alguma política bloqueando o acesso à porta 5060/TCP?,check_firewall_rule
"Informe o status de acesso do serviço personalizado, porta 6443/TCP.",check_firewall_rule
A porta 123/UDP no firewall está liberada?,check_firewall_rule
"Verifique se a porta 25 que utiliza o protocolo TCP está bloqueada, por favor.",check_firewall_rule
Confirme se o serviço personalizado na porta 110/TCP pode receber conexões.,check_firewall_rule
A origem 192.168.10.25 consegue acessar a porta 161/UDP através do firewall?,check_firewall_rule
Consulte se o tráfego para 172.18.10.0/24 na porta 587/UDP está permitido.,check_firewall_rule
Quero saber se existe alguma regra liberando o serviço personalizado em 1194/TCP.,check_firewall_rule
Cheque o estado da porta 514/UDP na interface WAN.,check_firewall_rule
O firewall deixa passar conexões destinadas à porta 4500/TCP?,check_firewall_rule
Valide se o serviço personalizado está acessível pela origem 172.20.5.10 usando 6379/UDP.,check_firewall_rule
Pode verificar se a porta 389/TCP no destino 10.40.5.25 está fechada?,check_firewall_rule
Há alguma política bloqueando o acesso à porta 22/TCP?,check_firewall_rule
"Informe o status de acesso do serviço personalizado, porta 80/TCP.",check_firewall_rule
A porta 636/TCP no firewall está liberada?,check_firewall_rule
"Verifique se a porta 514 que utiliza o protocolo TCP está bloqueada, por favor.",check_firewall_rule
Confirme se o serviço personalizado na porta 995/TCP pode receber conexões.,check_firewall_rule
A origem 172.16.40.0/24 consegue acessar a porta 5060/UDP através do firewall?,check_firewall_rule
Consulte se o tráfego para 172.18.10.0/24 na porta 3389/UDP está permitido.,check_firewall_rule
Quero saber se existe alguma regra liberando o serviço personalizado em 5900/TCP.,check_firewall_rule
Cheque o estado da porta 1883/TCP na interface LAN.,check_firewall_rule
O firewall deixa passar conexões destinadas à porta 27017/TCP?,check_firewall_rule
Valide se o serviço personalizado está acessível pela origem 172.16.2.5 usando 68/UDP.,check_firewall_rule
Pode verificar se a porta 445/TCP no destino 10.40.5.25 está fechada?,check_firewall_rule
Há alguma política bloqueando o acesso à porta 500/TCP?,check_firewall_rule
Crie uma regra de firewall para liberar a porta 80 no firewall.,create_firewall_allow_rule
Crie uma regra de firewall para liberar a porta 22/TCP.,create_firewall_allow_rule
Autorize conexões de entrada para o serviço personalizado na porta 80/TCP.,create_firewall_allow_rule
Abra a porta 389/TCP para o destino 192.168.30.15.,create_firewall_allow_rule
Permita que a origem 198.51.100.27 acesse a porta 80/TCP.,create_firewall_allow_rule
Adicione uma regra permitindo a porta 995/UDP pela interface bond0.,create_firewall_allow_rule
Libere o serviço personalizado no firewall usando 1883/TCP.,create_firewall_allow_rule
Configure uma permissão para tráfego destinado à porta 443/TCP.,create_firewall_allow_rule
Inclua uma regra de entrada liberando 5900/TCP em 172.20.8.0/24.,create_firewall_allow_rule
Habilite o acesso da origem 10.10.0.0/16 à porta 8883/UDP.,create_firewall_allow_rule
Crie uma regra de firewall para liberar a porta 53/UDP.,create_firewall_allow_rule
Autorize conexões de entrada para o serviço personalizado na porta 68/TCP.,create_firewall_allow_rule
Abra a porta 161/TCP para o destino 192.168.200.0/24.,create_firewall_allow_rule
Permita que a origem 10.0.8.15 acesse a porta 25/TCP.,create_firewall_allow_rule
Adicione uma regra permitindo a porta 993/TCP pela interface eth1.,create_firewall_allow_rule
Libere o serviço personalizado no firewall usando 1812/TCP.,create_firewall_allow_rule
Configure uma permissão para tráfego destinado à porta 587/TCP.,create_firewall_allow_rule
Inclua uma regra de entrada liberando 5672/UDP em 172.18.10.0/24.,create_firewall_allow_rule
Habilite o acesso da origem 198.51.100.64/27 à porta 8443/TCP.,create_firewall_allow_rule
Crie uma regra de firewall para liberar a porta 993/TCP.,create_firewall_allow_rule
Autorize conexões de entrada para o serviço personalizado na porta 67/TCP.,create_firewall_allow_rule
Abra a porta 143/UDP para o destino 8.8.8.8.,create_firewall_allow_rule
Permita que a origem 172.16.40.0/24 acesse a porta 995/TCP.,create_firewall_allow_rule
Adicione uma regra permitindo a porta 853/TCP pela interface eth0.,create_firewall_allow_rule
Libere o serviço personalizado no firewall usando 1521/TCP.,create_firewall_allow_rule
Configure uma permissão para tráfego destinado à porta 3389/TCP.,create_firewall_allow_rule
Inclua uma regra de entrada liberando 5432/TCP em 1.1.1.1.,create_firewall_allow_rule
Habilite o acesso da origem 172.16.2.5 à porta 8080/TCP.,create_firewall_allow_rule
Crie uma regra de firewall para liberar a porta 3306/TCP.,create_firewall_allow_rule
Autorize conexões de entrada para o serviço personalizado na porta 53/UDP.,create_firewall_allow_rule
Abra a porta 123/TCP para o destino 192.168.100.45.,create_firewall_allow_rule
Permita que a origem 8.8.8.8 acesse a porta 5432/TCP.,create_firewall_allow_rule
Adicione uma regra permitindo a porta 636/TCP pela interface DMZ.,create_firewall_allow_rule
Libere o serviço personalizado no firewall usando 1433/UDP.,create_firewall_allow_rule
Configure uma permissão para tráfego destinado à porta 6379/TCP.,create_firewall_allow_rule
Inclua uma regra de entrada liberando 5060/TCP em 10.0.0.20.,create_firewall_allow_rule
Habilite o acesso da origem 203.0.113.18 à porta 6443/TCP.,create_firewall_allow_rule
Crie uma regra de firewall para liberar a porta 123/UDP.,create_firewall_allow_rule
Autorize conexões de entrada para o serviço personalizado na porta 25/TCP.,create_firewall_allow_rule
Abra a porta 110/TCP para o destino 192.168.30.15.,create_firewall_allow_rule
Permita que a origem 192.168.10.25 acesse a porta 161/UDP.,create_firewall_allow_rule
Adicione uma regra permitindo a porta 587/UDP pela interface LAN.,create_firewall_allow_rule
Libere o serviço personalizado no firewall usando 1194/TCP.,create_firewall_allow_rule
Configure uma permissão para tráfego destinado à porta 514/UDP.,create_firewall_allow_rule
Inclua uma regra de entrada liberando 4500/TCP em 172.20.8.0/24.,create_firewall_allow_rule
Crie uma regra para bloquear a porta 22/TCP no firewall.,create_firewall_block_rule
Negue conexões para o serviço personalizado na porta 80/TCP.,create_firewall_block_rule
Feche a porta 389/TCP no destino 192.168.30.15.,create_firewall_block_rule
Impeça a origem 198.51.100.27 de acessar a porta 80/TCP.,create_firewall_block_rule
Adicione um bloqueio para 995/UDP na interface bond0.,create_firewall_block_rule
Proíba o tráfego de personalizado usando a porta 1883/TCP.,create_firewall_block_rule
Inclua uma regra de descarte para pacotes destinados à porta 443/TCP.,create_firewall_block_rule
Bloqueie novas conexões em 172.20.8.0/24 pela porta 5900/TCP.,create_firewall_block_rule
Crie uma negação da origem 10.10.0.0/16 para 8883/UDP.,create_firewall_block_rule
Crie uma regra para bloquear a porta 53/UDP no firewall.,create_firewall_block_rule
Negue conexões para o serviço personalizado na porta 68/TCP.,create_firewall_block_rule
Feche a porta 161/TCP no destino 192.168.200.0/24.,create_firewall_block_rule
Impeça a origem 10.0.8.15 de acessar a porta 25/TCP.,create_firewall_block_rule
Adicione um bloqueio para 993/TCP na interface eth1.,create_firewall_block_rule
Proíba o tráfego de personalizado usando a porta 1812/TCP.,create_firewall_block_rule
Inclua uma regra de descarte para pacotes destinados à porta 587/TCP.,create_firewall_block_rule
Bloqueie novas conexões em 172.18.10.0/24 pela porta 5672/UDP.,create_firewall_block_rule
Crie uma negação da origem 198.51.100.64/27 para 8443/TCP.,create_firewall_block_rule
Crie uma regra para bloquear a porta 993/TCP no firewall.,create_firewall_block_rule
Negue conexões para o serviço personalizado na porta 67/TCP.,create_firewall_block_rule
Feche a porta 143/UDP no destino 8.8.8.8.,create_firewall_block_rule
Impeça a origem 172.16.40.0/24 de acessar a porta 995/TCP.,create_firewall_block_rule
Adicione um bloqueio para 853/TCP na interface eth0.,create_firewall_block_rule
Proíba o tráfego de personalizado usando a porta 1521/TCP.,create_firewall_block_rule
Inclua uma regra de descarte para pacotes destinados à porta 3389/TCP.,create_firewall_block_rule
