text,label
Is port 22/TCP open on the firewall?,check_firewall_rule
Please check whether port 443 using the TCP protocol is blocked.,check_firewall_rule
Please check whether port 80 using the TCP protocol is blocked.,check_firewall_rule
Confirm whether the custom service on port 389/TCP can receive connections.,check_firewall_rule
Can source 198.51.100.27 access port 80/TCP through the firewall?,check_firewall_rule
Check whether traffic to 172.18.10.0/24 on port 995/UDP is allowed.,check_firewall_rule
I want to know if there is any rule allowing the custom service on 1883/TCP.,check_firewall_rule
Check the status of port 443/TCP on interface eth1.,check_firewall_rule
Does the firewall allow connections destined for port 5900/TCP?,check_firewall_rule
Validate whether the custom service is accessible from source 10.10.0.0/16 using 8883/UDP.,check_firewall_rule
Can you check if port 53/UDP on destination 10.40.5.25 is closed?,check_firewall_rule
Is there any policy blocking access to port 68/TCP?,check_firewall_rule
"Report the access status of the custom service, port 161/TCP.",check_firewall_rule
Is port 25/TCP open on the firewall?,check_firewall_rule
Please check whether port 993 using the TCP protocol is blocked.,check_firewall_rule
Confirm whether the custom service on port 1812/TCP can receive connections.,check_firewall_rule
Can source 8.8.8.8 access port 587/TCP through the firewall?,check_firewall_rule
Check whether traffic to 172.18.10.0/24 on port 5672/UDP is allowed.,check_firewall_rule
I want to know if there is any rule allowing the custom service on 8443/TCP.,check_firewall_rule
Check the status of port 993/TCP on interface bond0.,check_firewall_rule
Does the firewall allow connections destined for port 67/TCP?,check_firewall_rule
Validate whether the custom service is accessible from source 203.0.113.18 using 143/UDP.,check_firewall_rule
Can you check if port 995/TCP on destination 10.40.5.25 is closed?,check_firewall_rule
Is there any policy blocking access to port 853/TCP?,check_firewall_rule
"Report the access status of the custom service, port 1521/TCP.",check_firewall_rule
Is port 3389/TCP open on the firewall?,check_firewall_rule
Please check whether port 5432 using the TCP protocol is blocked.,check_firewall_rule
Confirm whether the custom service on port 8080/TCP can receive connections.,check_firewall_rule
Can source 10.0.8.15 access port 3306/TCP through the firewall?,check_firewall_rule
Check whether traffic to 172.18.10.0/24 on port 53/UDP is allowed.,check_firewall_rule
I want to know if there is any rule allowing the custom service on 123/TCP.,check_firewall_rule
Check the status of port 5432/TCP on interface vlan20.,check_firewall_rule
Does the firewall allow connections destined for port 636/TCP?,check_firewall_rule
Validate whether the custom service is accessible from source 198.51.100.64/27 using 1433/UDP.,check_firewall_rule
Can you check if port 6379/TCP on destination 10.40.5.25 is closed?,check_firewall_rule
Is there any policy blocking access to port 5060/TCP?,check_firewall_rule
"Report the access status of the custom service, port 6443/TCP.",check_firewall_rule
Is port 123/UDP open on the firewall?,check_firewall_rule
Please check whether port 25 using the TCP protocol is blocked.,check_firewall_rule
Confirm whether the custom service on port 110/TCP can receive connections.,check_firewall_rule
Can source 192.168.10.25 access port 161/UDP through the firewall?,check_firewall_rule
Check whether traffic to 172.18.10.0/24 on port 587/UDP is allowed.,check_firewall_rule
I want to know if there is any rule allowing the custom service on 1194/TCP.,check_firewall_rule
Check the status of port 514/UDP on interface WAN.,check_firewall_rule
Does the firewall allow connections destined for port 4500/TCP?,check_firewall_rule
Validate whether the custom service is accessible from source 172.20.5.10 using 6379/UDP.,check_firewall_rule
Can you check if port 389/TCP on destination 10.40.5.25 is closed?,check_firewall_rule
Is there any policy blocking access to port 22/TCP?,check_firewall_rule
"Report the access status of the custom service, port 80/TCP.",check_firewall_rule
Is port 636/TCP open on the firewall?,check_firewall_rule
Please check whether port 514 using the TCP protocol is blocked.,check_firewall_rule
Confirm whether the custom service on port 995/TCP can receive connections.,check_firewall_rule
Can source 172.16.40.0/24 access port 5060/UDP through the firewall?,check_firewall_rule
Check whether traffic to 172.18.10.0/24 on port 3389/UDP is allowed.,check_firewall_rule
I want to know if there is any rule allowing the custom service on 5900/TCP.,check_firewall_rule
Check the status of port 1883/TCP on interface LAN.,check_firewall_rule
Does the firewall allow connections destined for port 27017/TCP?,check_firewall_rule
Validate whether the custom service is accessible from source 172.16.2.5 using 68/UDP.,check_firewall_rule
Can you check if port 445/TCP on destination 10.40.5.25 is closed?,check_firewall_rule
Is there any policy blocking access to port 500/TCP?,check_firewall_rule
Create a firewall rule to open port 80 on the firewall.,create_firewall_allow_rule
Create a firewall rule to open port 22/TCP.,create_firewall_allow_rule
Authorize inbound connections for the custom service on port 80/TCP.,create_firewall_allow_rule
Open port 389/TCP for destination 192.168.30.15.,create_firewall_allow_rule
Allow source 198.51.100.27 to access port 80/TCP.,create_firewall_allow_rule
Add a rule allowing port 995/UDP via interface bond0.,create_firewall_allow_rule
Open the custom service on the firewall using 1883/TCP.,create_firewall_allow_rule
Configure a permission for traffic destined to port 443/TCP.,create_firewall_allow_rule
Add an inbound rule allowing 5900/TCP on 172.20.8.0/24.,create_firewall_allow_rule
Enable access from source 10.10.0.0/16 to port 8883/UDP.,create_firewall_allow_rule
Create a firewall rule to open port 53/UDP.,create_firewall_allow_rule
Authorize inbound connections for the custom service on port 68/TCP.,create_firewall_allow_rule
Open port 161/TCP for destination 192.168.200.0/24.,create_firewall_allow_rule
Allow source 10.0.8.15 to access port 25/TCP.,create_firewall_allow_rule
Add a rule allowing port 993/TCP via interface eth1.,create_firewall_allow_rule
Open the custom service on the firewall using 1812/TCP.,create_firewall_allow_rule
Configure a permission for traffic destined to port 587/TCP.,create_firewall_allow_rule
Add an inbound rule allowing 5672/UDP on 172.18.10.0/24.,create_firewall_allow_rule
Enable access from source 198.51.100.64/27 to port 8443/TCP.,create_firewall_allow_rule
Create a firewall rule to open port 993/TCP.,create_firewall_allow_rule
Authorize inbound connections for the custom service on port 67/TCP.,create_firewall_allow_rule
Open port 143/UDP for destination 8.8.8.8.,create_firewall_allow_rule
Allow source 172.16.40.0/24 to access port 995/TCP.,create_firewall_allow_rule
Add a rule allowing port 853/TCP via interface eth0.,create_firewall_allow_rule
Open the custom service on the firewall using 1521/TCP.,create_firewall_allow_rule
Configure a permission for traffic destined to port 3389/TCP.,create_firewall_allow_rule
Add an inbound rule allowing 5432/TCP on 1.1.1.1.,create_firewall_allow_rule
Enable access from source 172.16.2.5 to port 8080/TCP.,create_firewall_allow_rule
Create a firewall rule to open port 3306/TCP.,create_firewall_allow_rule
Authorize inbound connections for the custom service on port 53/UDP.,create_firewall_allow_rule
Open port 123/TCP for destination 192.168.100.45.,create_firewall_allow_rule
Allow source 8.8.8.8 to access port 5432/TCP.,create_firewall_allow_rule
Add a rule allowing port 636/TCP via interface DMZ.,create_firewall_allow_rule
Open the custom service on the firewall using 1433/UDP.,create_firewall_allow_rule
Configure a permission for traffic destined to port 6379/TCP.,create_firewall_allow_rule
Add an inbound rule allowing 5060/TCP on 10.0.0.20.,create_firewall_allow_rule
Enable access from source 203.0.113.18 to port 6443/TCP.,create_firewall_allow_rule
Create a firewall rule to open port 123/UDP.,create_firewall_allow_rule
Authorize inbound connections for the custom service on port 25/TCP.,create_firewall_allow_rule
Open port 110/TCP for destination 192.168.30.15.,create_firewall_allow_rule
Allow source 192.168.10.25 to access port 161/UDP.,create_firewall_allow_rule
Add a rule allowing port 587/UDP via interface LAN.,create_firewall_allow_rule
Open the custom service on the firewall using 1194/TCP.,create_firewall_allow_rule
Configure a permission for traffic destined to port 514/UDP.,create_firewall_allow_rule
Add an inbound rule allowing 4500/TCP on 172.20.8.0/24.,create_firewall_allow_rule
Create a rule to block port 22/TCP on the firewall.,create_firewall_block_rule
Deny connections to the custom service on port 80/TCP.,create_firewall_block_rule
Close port 389/TCP on destination 192.168.30.15.,create_firewall_block_rule
Prevent source 198.51.100.27 from accessing port 80/TCP.,create_firewall_block_rule
Add a block for 995/UDP on interface bond0.,create_firewall_block_rule
Prohibit custom traffic using port 1883/TCP.,create_firewall_block_rule
Add a drop rule for packets destined to port 443/TCP.,create_firewall_block_rule
Block new connections to 172.20.8.0/24 on port 5900/TCP.,create_firewall_block_rule
Create a denial from source 10.10.0.0/16 for 8883/UDP.,create_firewall_block_rule
Create a rule to block port 53/UDP on the firewall.,create_firewall_block_rule
Deny connections to the custom service on port 68/TCP.,create_firewall_block_rule
Close port 161/TCP on destination 192.168.200.0/24.,create_firewall_block_rule
Prevent source 10.0.8.15 from accessing port 25/TCP.,create_firewall_block_rule
Add a block for 993/TCP on interface eth1.,create_firewall_block_rule
Prohibit custom traffic using port 1812/TCP.,create_firewall_block_rule
Add a drop rule for packets destined to port 587/TCP.,create_firewall_block_rule
Block new connections to 172.18.10.0/24 on port 5672/UDP.,create_firewall_block_rule
Create a denial from source 198.51.100.64/27 for 8443/TCP.,create_firewall_block_rule
Create a rule to block port 993/TCP on the firewall.,create_firewall_block_rule
Deny connections to the custom service on port 67/TCP.,create_firewall_block_rule
Close port 143/UDP on destination 8.8.8.8.,create_firewall_block_rule
Prevent source 172.16.40.0/24 from accessing port 995/TCP.,create_firewall_block_rule
Add a block for 853/TCP on interface eth0.,create_firewall_block_rule
Prohibit custom traffic using port 1521/TCP.,create_firewall_block_rule
Add a drop rule for packets destined to port 3389/TCP.,create_firewall_block_rule
Block new connections to 1.1.1.1 on port 5432/TCP.,create_firewall_block_rule
